iter	Passed	Remaining
539	117753	100308
540	117965	100085
541	118172	99858
542	118394	99642
543	118601	99415
544	118805	99186
545	119020	98965
546	119235	98744
547	119443	98519
548	119668	98306
549	119877	98081
550	120102	97869
551	120372	97693
552	120658	97530
553	120872	97308
554	121132	97124
555	121417	96959
556	121629	96736
557	121829	96503
558	122029	96270
559	122225	96034
560	122447	95818
561	122721	95643
562	122977	95454
563	123188	95230
564	123388	94998
565	123598	94773
566	123806	94547
567	124056	94352
568	124371	94207
569	124647	94032
570	124870	93816
571	125082	93593
572	125286	93363
573	125495	93137
574	125790	92975
575	126074	92804
576	126309	92598
577	126545	92391
578	126789	92190
579	127023	91982
580	127277	91788
581	127555	91612
582	127777	91394
583	127991	91172
584	128220	90960
585	128442	90742
586	128660	90522
587	128908	90323
588	129165	90130
589	129488	89983
590	129725	89776
591	129964	89570
592	130184	89351
593	130429	89148
594	130666	88941
595	130885	88721
596	131085	88488
597	131296	88262
598	131561	88073
599	131811	87874
600	132021	87648
601	132233	87423
602	132456	87205
603	132654	86972
604	132887	86761
605	133219	86614
606	133451	86402
607	133740	86227
608	134016	86043
609	134214	85808
610	134417	85578
611	134632	85355
612	134842	85128
613	135088	84925
614	135296	84697
615	135500	84467
616	135715	84244
617	135929	84021
618	136162	83809
619	136375	83584
620	136612	83375
621	136872	83179
622	137102	82965
623	137347	82760
624	137598	82559
625	137817	82338
626	138041	82120
627	138281	81911
628	138518	81701
629	138728	81475
630	138938	81249
631	139180	81041
632	139394	80817
633	139594	80585
634	139811	80364
635	140053	80156
636	140276	79937
637	140487	79712
638	140754	79518
639	141000	79312
640	141234	79100
641	141490	78899
642	141717	78682
643	141949	78468
644	142146	78235
645	142367	78015
646	142592	77797
647	142798	77569
648	143000	77339
649	143200	77107
650	143393	76873
651	143587	76638
652	143780	76404
653	143978	76172
654	144187	75946
655	144385	75714
656	144586	75484
657	144779	75250
658	144978	75019
659	145175	74787
660	145383	74561
661	145585	74332
662	145820	74119
663	146025	73892
664	146224	73662
665	146422	73430
666	146633	73206
667	146871	72996
